AI	dNBR	years	slope	I12_crit_mean
1.25	100	0.434	0.1	288.136087741
1.25	100	0.434	0.2	198.530347344
1.25	100	0.434	0.3	167.424717598
1.25	100	0.434	0.4	151.173648184
1.25	100	0.434	0.5	141.099647031
1.25	100	0.434	0.6	134.184927383
1.25	100	0.434	0.7	129.571758737
1.25	100	0.434	0.8	126.340805105
1.25	100	0.434	0.9	123.109481844
1.25	100	0.434	1	120.426261862
1.25	100	1.434	0.1	500
1.25	100	1.434	0.2	500
1.25	100	1.434	0.3	500
1.25	100	1.434	0.4	500
1.25	100	1.434	0.5	500
1.25	100	1.434	0.6	500
1.25	100	1.434	0.7	500
1.25	100	1.434	0.8	500
1.25	100	1.434	0.9	500
1.25	100	1.434	1	500
1.25	200	0.434	0.1	271.379859844
1.25	200	0.434	0.2	181.298414062
1.25	200	0.434	0.3	150.07486031
1.25	200	0.434	0.4	133.762174834
1.25	200	0.434	0.5	123.696925898
1.25	200	0.434	0.6	116.791365586
1.25	200	0.434	0.7	111.769618652
1.25	200	0.434	0.8	109.059357539
1.25	200	0.434	0.9	105.821198745
1.25	200	0.434	1	103.254309902
1.25	200	1.434	0.1	500
1.25	200	1.434	0.2	500
1.25	200	1.434	0.3	500
1.25	200	1.434	0.4	500
1.25	200	1.434	0.5	500
1.25	200	1.434	0.6	500
1.25	200	1.434	0.7	500
1.25	200	1.434	0.8	500
1.25	200	1.434	0.9	500
1.25	200	1.434	1	500
1.25	300	0.434	0.1	257.841414928
1.25	300	0.434	0.2	167.256406111
1.25	300	0.434	0.3	135.796618125
1.25	300	0.434	0.4	119.522034548
1.25	300	0.434	0.5	109.404436641
1.25	300	0.434	0.6	102.529650234
1.25	300	0.434	0.7	97.5610172742
1.25	300	0.434	0.8	94.6904211315
1.25	300	0.434	0.9	91.6738741406
1.25	300	0.434	1	89.0648251172
1.25	300	1.434	0.1	500
1.25	300	1.434	0.2	500
1.25	300	1.434	0.3	429.749102136
1.25	300	1.434	0.4	378.073292751
1.25	300	1.434	0.5	347.363346499
1.25	300	1.434	0.6	326.62696564
1.25	300	1.434	0.7	311.820970508
1.25	300	1.434	0.8	300.645150941
1.25	300	1.434	0.9	291.844029188
1.25	300	1.434	1	284.858340242
1.25	400	0.434	0.1	247.022825197
1.25	400	0.434	0.2	155.965568281
1.25	400	0.434	0.3	124.280939453
1.25	400	0.434	0.4	107.982784231
1.25	400	0.434	0.5	97.8853140357
1.25	400	0.434	0.6	91.0313310156
1.25	400	0.434	0.7	86.0249091406
1.25	400	0.434	0.8	82.2103366602
1.25	400	0.434	0.9	80.2396179102
1.25	400	0.434	1	77.634375
1.25	400	1.434	0.1	500
1.25	400	1.434	0.2	500
1.25	400	1.434	0.3	500
1.25	400	1.434	0.4	341.584277344
1.25	400	1.434	0.5	310.638267216
1.25	400	1.434	0.6	289.955206592
1.25	400	1.434	0.7	275.280571033
1.25	400	1.434	0.8	264.046033086
1.25	400	1.434	0.9	255.187948542
1.25	400	1.434	1	248.170417691
1.25	500	0.434	0.1	237.878483229
1.25	500	0.434	0.2	146.861919531
1.25	500	0.434	0.3	114.984985696
1.25	500	0.434	0.4	98.5876371799
1.25	500	0.434	0.5	88.4476996799
1.25	500	0.434	0.6	81.5785027148
1.25	500	0.434	0.7	76.5538699707
1.25	500	0.434	0.8	72.7903077344
1.25	500	0.434	0.9	70.5811767212
1.25	500	0.434	1	68.234560249
1.25	500	1.434	0.1	500
1.25	500	1.434	0.2	469.463503516
1.25	500	1.434	0.3	363.657047037
1.25	500	1.434	0.4	311.465787898
1.25	500	1.434	0.5	280.395276593
1.25	500	1.434	0.6	259.793429555
1.25	500	1.434	0.7	244.835880859
1.25	500	1.434	0.8	233.704033387
1.25	500	1.434	0.9	224.986764165
1.25	500	1.434	1	217.859413198
1.25	600	0.434	0.1	230.209245343
1.25	600	0.434	0.2	139.393337298
1.25	600	0.434	0.3	107.403325245
1.25	600	0.434	0.4	90.87721875
1.25	600	0.434	0.5	80.6930475586
1.25	600	0.434	0.6	73.7907907617
1.25	600	0.434	0.7	68.7885585937
1.25	600	0.434	0.8	64.9613736857
1.25	600	0.434	0.9	61.938300809
1.25	600	0.434	1	60.4779651701
1.25	600	1.434	0.1	500
1.25	600	1.434	0.2	500
1.25	600	1.434	0.3	338.995108224
1.25	600	1.434	0.4	286.456018619
1.25	600	1.434	0.5	255.177716641
1.25	600	1.434	0.6	234.513832738
1.25	600	1.434	0.7	219.539412336
1.25	600	1.434	0.8	208.267685391
1.25	600	1.434	0.9	199.55145207
1.25	600	1.434	1	192.47399166
1.25	700	0.434	0.1	223.928246577
1.25	700	0.434	0.2	133.290338706
1.25	700	0.434	0.3	101.351627848
1.25	700	0.434	0.4	84.7415383412
1.25	700	0.434	0.5	74.5587280371
1.25	700	0.434	0.6	67.6113669141
1.25	700	0.434	0.7	62.59753125
1.25	700	0.434	0.8	58.7569541016
1.25	700	0.434	0.9	55.7419647565
1.25	700	0.434	1	53.3063413113
1.25	700	1.434	0.1	500
1.25	700	1.434	0.2	425.481517339
1.25	700	1.434	0.3	318.629478079
1.25	700	1.434	0.4	265.976393821
1.25	700	1.434	0.5	234.363962588
1.25	700	1.434	0.6	213.598401406
